external_recipe_id,section,name,amount
7073455,재료,감자,2개
7073455,재료,햄,150g
7073455,재료,오일,넉넉히
7073455,재료,소금,1/2작은술
7073455,재료,후추,넉넉히
7065887,재료,밥,1공기
7065887,재료,팽이버섯,1봉지
7065887,재료,계란,2개
7065887,재료,대파,
7065887,재료,식용유,1T
7065887,재료,간장,1T
7065887,재료,굴소스,1T
7065887,재료,물,3T
7065887,재료,참기름,1T
7072605,재료,두부,350g
7072605,재료,들기름,2큰술
7072605,재료,식용유,1큰술
7072605,재료,소금,솔솔
7072605,재료,들기름,1큰술
7072605,재료,진간장,1.5큰술
7072605,재료,알룰로스,1/2큰술
7072605,재료,다진마늘,0.3큰술
7072605,재료,고춧가루,0.2큰술
7072605,재료,통깨,적당량
7073618,재료,손질오징어,300g
7073618,재료,무,1/3개
7073618,재료,대파,1/2개
7073618,재료,물,1.2L
7073618,재료,고춧가루,1큰술
7073618,재료,국간장,2큰술
7073618,재료,다진마늘,1큰술
7073618,재료,코인육수 멸치,1알
7073618,재료,소금,약간
7073618,재료,후추,약간
7035406,재료,채썬 양배추,2줌
7035406,재료,계란,2개
7035406,재료,소금,1꼬집
7035406,재료,후추,톡톡
7035406,재료,모짜렐라치즈,60g
7035406,재료,스리라차소스 선택재료,
7035406,기타,도마,
7035406,기타,조리용나이프,
7035406,기타,볼,
7035406,기타,채반,
7035406,기타,요리젓가락,
7035406,기타,프라이팬,
7035406,기타,뒤집개,
7035406,기타,접시,
7073764,재료,숙주나물,350g
7073764,재료,대파,1/2개
7073764,재료,국간장,2t
7073764,재료,다진마늘,1t
7073764,재료,참기름,1t
7073764,재료,통깨,1t
7018465,재료,새송이버섯,1봉지
7018465,재료,쪽파,2T
7018465,재료,버터,1조각
7018465,재료,올리고당,2T
7018465,재료,다진마늘,1T
7018465,재료,간장,5T
7018465,재료,참기름,1T
7018465,재료,물,2T
7018465,기타,도마,
7018465,기타,조리용나이프,
7018465,기타,소스볼,
7018465,기타,숟가락,
7018465,기타,프라이팬,
7018465,기타,요리집게,
7018465,기타,요리스푼,
7018465,기타,플레이팅접시,
7070463,재료,​ 파프리카,100g
7070463,재료,쪽파,1큰술
7070463,재료,고춧가루,1/2큰술
7070463,재료,설탕,1작은술
7070463,재료,액젓,1/2큰술
7070463,재료,올리브유,1/2작은술
7070463,재료,다진마늘,1작은술
7022775,재료,시금치,300g
7022775,재료,소금,1스푼
7022775,재료,물,넉넉히
7022775,재료,다진 마늘,1스푼
7022775,재료,참치액,1.5스푼
7022775,재료,참기름,1스푼
7022775,재료,깨소금,1스푼
7022775,재료,소금,0.5스푼
7022775,기타,믹싱볼,
7022775,기타,채반,
7022775,기타,조리용나이프,
7022775,기타,냄비,
7022775,기타,조리용스푼,
7022775,기타,찬기,
7022775,기타,도마,
6984517,재료,감자,2개
6984517,재료,스팸,200g
6984517,재료,진간장,4스푼
6984517,재료,설탕,4스푼
6984517,재료,후추,조금
6984517,재료,올리고당,1스푼
6984517,재료,다진마늘,1스푼
6984517,재료,물,120ml
7073279,재료,새송이버섯,1봉지
7073279,재료,진간장,2큰술
7073279,재료,참기름,4큰술
7073279,재료,고춧가루,1큰술
7073279,재료,고추장,1큰술
7073279,재료,물엿,1큰술
7073279,재료,검은깨,약간
7073279,재료,통깨,
7009944,재료,오이고추,7개
7009944,재료,된장,1스푼
7009944,재료,고추장,0.5스푼
7009944,재료,참기름,1스푼
7009944,재료,올리고당,0.5스푼
7009944,재료,통깨,1스푼
7009944,기타,믹싱볼,
7009944,기타,숟가락,
7009944,기타,도마,
7009944,기타,조리용나이프,
7009944,기타,접시볼,
6989690,재료,양파,1/2개
6989690,재료,비엔나소세지,300g
6989690,재료,굴소스,0.5T
6989690,재료,올리고당,1T
6989690,재료,참기름,1T
6989690,재료,통깨,
6993517,재료,미니새송이버섯,1팩
6993517,재료,버터,20g
6993517,재료,굴소스,1T
6993517,재료,진간장,0.5T
6993517,재료,통깨,약간
7070554,재료,청포묵,400g
7070554,재료,김가루,2줌
7070554,재료,가는소금,1/2작은술
7070554,재료,통깨,1큰술
7070554,재료,참기름,1큰술
7054279,재료,두부,1모
7054279,재료,계란,2개
7054279,재료,스테비아,1/2T
7054279,재료,간장,2T
7054279,재료,물,2T
7054279,재료,굴소스,2T
7054279,재료,청양고추,조금
7054279,재료,들기름,조금
7054279,재료,깨,조금
7054279,기타,도마,
7054279,기타,조리용나이프,
7054279,기타,키친타올,
7054279,기타,웍,
7054279,기타,소스볼,
7054279,기타,숟가락,
7054279,기타,요리스푼,
7054279,기타,접시,
7025833,재료,콩나물,300g
7025833,재료,대파,1/2대
7025833,재료,고추가루,1.5T
7025833,재료,맛소금,1/3T
7025833,재료,멸치액젓,1T
7025833,재료,국간장,1T
7025833,재료,참기름,1T
7025833,재료,통깨,
7025833,기타,볼,
7025833,기타,채반,
7025833,기타,냄비,
7025833,기타,도마,
7025833,기타,조리용나이프,
7025833,기타,위생장갑,
7025833,기타,접시,
7067844,재료,단무지 1팩,200g
7067844,재료,설탕 밥 숟가락계량,0.4큰술
7067844,재료,고춧가루 밥 숟가락계량,1큰술
7067844,재료,참기름 밥 숟가락계량,0.5큰술
7067844,재료,대파,약간
7067844,재료,통깨,솔솔솔
7003487,재료,청경채,150g
7003487,재료,쪽파,2개
7003487,재료,된장 또는 쌈장,1스푼
7003487,재료,간마늘,1/2스푼
7003487,재료,고춧가루,1/2스푼
7003487,재료,설탕,1/3스푼
7003487,재료,매실액,1스푼
7003487,재료,들기름,1스푼
7003487,재료,통깨,1/2스푼
7003487,기타,유리볼,
7003487,기타,냄비,
7003487,기타,채반,
7003487,기타,요리스푼,
7003487,기타,위생장갑,
7029097,재료,오이고추,3개
7029097,재료,된장,1t
7029097,재료,고춧가루,1/2t
7029097,재료,통깨,약간
7029097,재료,올리고당,1t
7029097,재료,참기름,1t
7029097,기타,도마,
7029097,기타,조리용나이프,
7029097,기타,볼,
7029097,기타,스푼,
7029097,기타,접시,
7029407,재료,오이,1개
7029407,재료,부추,1줌
7029407,재료,양파,1/4개
7029407,재료,매운 고추 선택,1개
7029407,재료,고추장,1큰술
7029407,재료,고춧가루,1큰술
7029407,재료,간장,1큰술
7029407,재료,식초,1큰술
7029407,재료,참기름,1큰술
7029407,재료,설탕,1큰술
7029407,재료,올리고당,1큰술
7029407,재료,다진마늘,0.5큰술
7029407,재료,통깨,톡톡
7029407,기타,도마,
7029407,기타,조리용나이프,
