external_recipe_id,step_order,description,image_url,heat_level,timer_seconds,tip
7073455,1,"감자 2개와 햄 150g을 준비합니다. 감자는 얇고 일정하게 채 썰어주고, 햄도 감자와 같은 두께로 썰어주세요.",https://recipe1.ezmember.co.kr/cache/recipe/2026/03/23/e8eb0f0618d1f2298af3ebb7ef8f36361.jpg,,,
7073455,2,채 썬 감자는 찬물에 10분 정도 담가 전분기를 제거해주세요. 전분기 뺀 감자는 물기를 충분히 빼주세요.,https://recipe1.ezmember.co.kr/cache/recipe/2026/03/23/2b2493854c85c0bf9174aeb29401dbc61.jpg,,600,
7073455,3,기름 없이 마른 팬에 감자를 먼저 넣고 살짝 볶아 수분을 날려준 후 오일을 넉넉히 두르고 감자를 중불에서 볶아주세요. 이때 감자가 타지 않게 계속 섞어주면서 볶는 게 포인트예요.,https://recipe1.ezmember.co.kr/cache/recipe/2026/03/23/a3c65ea6e69f85d06bba22e8c192493f1.jpg,중불,,
7073455,4,감자가 반 정도 익으면 소금으로 간을 해주세요. (약 1/2t) 그리고 햄을 넣고 함께 볶아주세요.,https://recipe1.ezmember.co.kr/cache/recipe/2026/03/23/7bb5c9dca8f85654e89b0d5216d953b71.jpg,,,
7073455,5,"감자가 모두 익으면 후추, 참기름, 깨소금으로 마무리해 주세요.",https://recipe1.ezmember.co.kr/cache/recipe/2026/03/23/ff4655c0f39192397d5eee7bb4e30bac1.jpg,,,
7073455,6,담백하면서 고소한 맛의 햄감자볶음 완성입니다.,https://recipe1.ezmember.co.kr/cache/recipe/2026/03/23/bbd44abc8ad7ad01dabe5a84f06415831.jpg,,,
7065887,1,재료 준비,https://recipe1.ezmember.co.kr/cache/recipe/2025/11/07/6824492aea00196adadc6e8add7d30751.jpg,,,
7065887,2,팽이버섯은 밑동을 잘라내고 흐르는 물에 가볍게 헹궈 한 입 크기로 썰어주세요. 대파는 송송 썰어 준비합니다.,https://recipe1.ezmember.co.kr/cache/recipe/2025/11/07/29d9a6de34b51c65c9cb42143d452e501.jpg,,,
7065887,3,팬에 식용유 1T를 넣고 버섯 넣어 가볍게 볶아 숨이 살짝 죽으면 파 기름을 내는 게 좋으시면 파 기름 먼저 내고 버섯 볶아주세요.,https://recipe1.ezmember.co.kr/cache/recipe/2025/11/07/a92ed9ab5da35fc85aee20e93a53423a1.jpg,,,
7065887,4,"재료를 한쪽으로 밀어주고 간장 1T, 굴소스 1T를 넣어 섞어준 후 버섯에 간이 배도록 볶아주세요.",https://recipe1.ezmember.co.kr/cache/recipe/2025/11/07/b52ed9699cdfae290d7557377da124401.jpg,,,
7065887,5,물 3T를 넣어 바글바글 끓여주시다가,https://recipe1.ezmember.co.kr/cache/recipe/2025/11/07/49a647ac4f24e48a063a1e9877266ba81.jpg,,,
7065887,6,가운데 계란 2개 넣어주고 불을 약약불로 줄인 다음에 뚜껑을 닫아 3~5분 익혀주세요.,https://recipe1.ezmember.co.kr/cache/recipe/2025/11/07/c9e953c6538b2eb125b724ce019d8c811.jpg,약불,300,
7065887,7,저는 반숙보다는 조금 익게 하여 5분 정도 익혀주었어요. 취향에 맞게 해주세요.,https://recipe1.ezmember.co.kr/cache/recipe/2025/11/07/a47dfb9989df4a30d225f6c4758a62701.jpg,,300,
7065887,8,그릇에 밥 한 공기를 펼쳐주시고 팽이버섯 계란 볶음을 살포시 덮어주세요. 대파를 올려주시고 고소하라고 참기름 1T 넣어주세요.,https://recipe1.ezmember.co.kr/cache/recipe/2025/11/07/84a207eda0cf7d23c4ff352548af59eb1.jpg,,,
